Date,Close,High,Low,Open,Volume
1995-01-03,1.6973272562026978,1.7567089293412763,1.6973272562026978,1.7468116971247027,36302175
1995-01-04,1.712172269821167,1.7220695021844155,1.6775335811461916,1.7022758019738686,46052550
1995-01-05,1.677533507347107,1.7220694264260792,1.6725849869476748,1.717120714897668,37764225
1995-01-06,1.6973272562026978,1.7270179972074946,1.6527905713085482,1.6775335562854896,41864850
1995-01-09,1.7468117475509644,1.7468117475509644,1.707224537702745,1.7121722938734305,34639650
1995-01-10,1.7517595291137695,1.7765017398494838,1.7517595291137695,1.756708238841386,42089625
1995-01-11,1.6998008489608765,1.7765022398786618,1.6824811245549032,1.7666059644113983,46763325
1995-01-12,1.6874295473098755,1.707224006151353,1.6725845632589558,1.7022752958765184,41295825
1995-01-13,1.6676357984542847,1.7195949610938737,1.6626872794701917,1.7072239503270281,55039500
1995-01-16,1.6577389240264893,1.6676361552410888,1.5835123657225083,1.6230996659847006,54575775
1995-01-17,1.7171202898025513,1.7171202898025513,1.657738633096993,1.657738633096993,39588750
1995-01-18,1.712172269821167,1.731966734547664,1.7072245137199866,1.712172269821167,28842075
1995-01-19,1.7715543508529663,1.776502105955681,1.6973269388332057,1.7072241691991759,55819125
1995-01-20,1.7393884658813477,1.7765016852804527,1.7072237649289448,1.7715539313493653,48519000
1995-01-23,1.7022761106491089,1.7270183359633156,1.6824816423332634,1.7270183359633156,37551600
1995-01-24,1.6973272562026978,1.7121722444471268,1.6725850357416954,1.7022757767464922,28961550
1995-01-25,1.7319667339324951,1.7616574753667569,1.6725850599349839,1.6874300483941398,67278600
1995-01-26,1.6973272562026978,1.7319667088802737,1.6973272562026978,1.7270179972074946,27544050
1995-01-27,1.6923778057098389,1.7121714969859643,1.6725843055626148,1.7022750336057042,35708850
1995-01-30,1.6527901887893677,1.6973268633760188,1.647842433906613,1.6923781528485615,44440650
1995-01-31,1.6874295473098755,1.707224006151353,1.6527901044174782,1.662687333838217,37910025
1995-02-01,1.677533507347107,1.717120714897668,1.6676362754192635,1.7072244386147204,24385050
1995-02-02,1.6973272562026978,1.7022757767464922,1.667636324068916,1.6775335562854896,24166350
1995-02-03,1.7418631315231323,1.76165663111184,1.7022749855723414,1.7121714486733512,53943975
1995-02-06,1.7591826915740967,1.7666061412559242,1.7319666889764265,1.7418639210792606,24820425
1995-02-07,1.756709337234497,1.7666065717491257,1.7319671110285564,1.7616578589272966,18530775
1995-02-08,1.7369155883789062,1.7666065266486832,1.7270183541169484,1.7616578139531922,26294625
1995-02-09,1.7220693826675415,1.7765023411622127,1.7220693826675415,1.7517601220517212,48529125
1995-02-10,1.7517595291137695,1.766605467167709,1.7220687997793485,1.7319660281056715,36316350
1995-02-13,1.7616571187973022,1.796296564964703,1.741863613729092,1.756708599183538,33374025
1995-02-14,1.7468117475509644,1.7863997219151446,1.7319667588779961,1.7765024894128616,28030050
1995-02-15,1.811140775680542,1.811140775680542,1.7517591391034717,1.7517591391034717,44547975
1995-02-16,1.8259872198104858,1.8309359303348174,1.7913479663006282,1.8111414704953719,45473400
1995-02-17,1.8061925172805786,1.825986781236809,1.801244572460428,1.821038263029975,20790675
1995-02-21,1.8259872198104858,1.8408322046098384,1.8111414704953719,1.8210387004150945,27060075
1995-02-22,1.865574836730957,1.870523548362509,1.8061933552160643,1.8160903962212018,40435200
1995-02-23,1.8630999326705933,1.9076365903815595,1.8408315082506763,1.8853681659616424,42391350
1995-02-24,1.811140775680542,1.8630999227054539,1.8037182861283836,1.8630999227054539,34298100
1995-02-27,1.8037188053131104,1.8705229506713295,1.8037188053131104,1.8185645532061143,31062150
1995-02-28,1.8630999326705933,1.8705224222624524,1.8037182957759095,1.8259865290669584,23047200
1995-03-01,1.8556785583496094,1.8853692990767816,1.8482560642967993,1.8779468050239716,24347250
1995-03-02,1.877946138381958,1.877946138381958,1.825986978296144,1.870522882448358,14650200
1995-03-03,1.9521721601486206,1.959594649237454,1.8556773173186676,1.8779455491005888,44343450
