Date,Close,High,Low,Open,Volume
1995-01-03,2.302168607711792,2.352371512368682,2.299778132168087,2.352371512368682,39545600
1995-01-04,2.318903684616089,2.3236846369009574,2.27587219581246,2.3045596604655585,51611200
1995-01-05,2.280653476715088,2.3332468642072874,2.2710909895666975,2.3284659124570406,39824000
1995-01-06,2.318903684616089,2.3428096133363563,2.2854346840301596,2.2902162199629905,46681600
1995-01-09,2.304560422897339,2.3332478970412893,2.2854354401347052,2.3284669431747087,46000000
1995-01-10,2.3332483768463135,2.352373363541775,2.3141233901508516,2.318904928648855,42184000
1995-01-11,2.3475916385650635,2.3619350820571583,2.3236851212141274,2.338029148354306,31512000
1995-01-12,2.3428092002868652,2.376278194972036,2.333246713755082,2.3428092002868652,26996800
1995-01-13,2.4001848697662354,2.4097473592872163,2.366716448266823,2.371497401203292,41307200
1995-01-16,2.4527788162231445,2.4671222584599417,2.4097473222166874,2.419309811590563,74648000
1995-01-17,2.471904993057251,2.491029981074528,2.4623424990486122,2.476685948237412,73932800
1995-01-18,2.488637924194336,2.495810084076084,2.457560121101738,2.4814666397847627,50504000
1995-01-19,2.428872585296631,2.486247528256394,2.4264821085853328,2.467122547269806,67108800
1995-01-20,2.3571534156799316,2.4288717787400342,2.342809392879167,2.4049658522693025,82388800
1995-01-23,2.4025752544403076,2.409747267219036,2.314122375662725,2.333247353973987,53843200
1995-01-24,2.372095823287964,2.4145293790284366,2.37149787574923,2.4097478414871207,36739200
1995-01-25,2.3619344234466553,2.3810593985352924,2.3332469608137,2.3571534714984566,52459200
1995-01-26,2.2902164459228516,2.3332473553240805,2.2854349095182593,2.3284664025675084,80836800
1995-01-27,2.2902164459228516,2.304559887840588,2.2854349095182593,2.299778935084016,58376000
1995-01-30,2.256747245788574,2.2997787350958157,2.2519662934477522,2.2997787350958157,55164800
1995-01-31,2.271092176437378,2.285435622831887,2.2280606699574466,2.261529684291638,59945600
1995-02-01,2.261528253555298,2.3236841213561337,2.2561487714783994,2.2710907396514135,66705600
1995-02-02,2.256747245788574,2.271091270106978,2.232841316788527,2.2471847574589616,46312000
1995-02-03,2.2997798919677734,2.3141233398534777,2.2663108741540254,2.275873367293916,60332800
1995-02-06,2.3284664154052734,2.338028904619159,2.299778947763615,2.299778947763615,48345600
1995-02-07,2.3332483768463135,2.3380299153443165,2.318904928648855,2.3236858834985825,33152000
1995-02-08,2.366715669631958,2.371496620995524,2.3332466754955963,2.342809161870578,49150400
1995-02-09,2.366715669631958,2.390621593745488,2.361934134620542,2.37627815600694,42398400
1995-02-10,2.371497392654419,2.395403908194713,2.3523724136813993,2.371497392654419,49862400
1995-02-13,2.371497392654419,2.400184861113948,2.3571539502486742,2.371497392654419,38160000
1995-02-14,2.366715669631958,2.381059107370506,2.35237164824556,2.37627815600694,31121600
1995-02-15,2.3236849308013916,2.3475914461933254,2.280654020203162,2.2997789990574944,147001600
1995-02-16,2.3284664154052734,2.338028904619159,2.3045599005465465,2.3284664154052734,56744000
1995-02-17,2.3093414306640625,2.3284664090395495,2.3045598942461796,2.3236848726216666,37824000
1995-02-21,2.285435438156128,2.323685403648281,2.27587294678309,2.3141229122752422,55392000
1995-02-22,2.352372407913208,2.371497386839332,2.2806540287642636,2.2854349816717754,60902400
1995-02-23,2.3571534156799316,2.3762783903156803,2.3332469055612926,2.342809392879167,59939200
1995-02-24,2.3428092002868652,2.366715708440253,2.3428092002868652,2.3475907353766865,34177600
1995-02-27,2.3619344234466553,2.371496910990974,2.33802849640982,2.3475909839541385,28592000
1995-02-28,2.409747362136841,2.4193098516691296,2.361934914475395,2.366716451065561,52544000
1995-03-01,2.419311046600342,2.4479985293663535,2.400186058089667,2.4145300912968386,52032000
1995-03-02,2.438434600830078,2.438434600830078,2.4145286710773064,2.4193096235686657,26038400
1995-03-03,2.433654308319092,2.443216799543041,2.414529325871194,2.433654308319092,31776000
1995-03-06,2.459949493408203,2.462340698810448,2.4049657767059083,2.4193092154080986,45156800
1995-03-07,2.499396324157715,2.525096107826827,2.4575607089711475,2.4623422473107834,91750400
1995-03-08,2.6201224327087402,2.624903969847957,2.514935035775178,2.514935035775178,140096000
1995-03-09,2.5962159633636475,2.62968438185416,2.557966008718496,2.6201218931928723,58238400
1995-03-10,2.622511386871338,2.629683542903157,2.543621172408145,2.5962151350901097,44324800
1995-03-13,2.639246702194214,2.6655438361596175,2.610559238039929,2.6249032619410473,34550400
1995-03-14,2.744434118270874,2.7539966064878456,2.6488092361011573,2.653590772033624,78643200
1995-03-15,2.696621894836426,2.7492158760987295,2.6918409421660394,2.7444343397803337,57294400
1995-03-16,2.6822781562805176,2.696621596352035,2.663153180419865,2.677496620491382,47510400
1995-03-17,2.6751067638397217,2.744434521781967,2.6727161414339884,2.6966220736672986,59868800
1995-03-20,2.720529556274414,2.7348730039816584,2.677498045856169,2.6822795841907543,37772800
1995-03-21,2.694230794906616,2.7348710696775536,2.6918401733422126,2.7253085834199395,74772800
1995-03-22,2.7133572101593018,2.715747541170763,2.672716621955162,2.6966225584864616,52464000
1995-03-23,2.7826836109161377,2.801808584187039,2.725308691103434,2.730090226245092,105286400
1995-03-24,2.8257155418395996,2.835278029995321,2.797028077372436,2.8018090296263174,65683200
1995-03-27,2.7922472953796387,2.8257163047853022,2.7779038510972947,2.782684804642037,61008000
1995-03-28,2.8161537647247314,2.8304972087558604,2.787466293014368,2.787466293014368,47603200
1995-03-29,2.7635602951049805,2.8304977416992188,2.7563881340029184,2.8161542949674185,65763200
1995-03-30,2.7587785720825195,2.7826845045241644,2.6918411441386394,2.773122014817896,75011200
1995-03-31,2.720529556274414,2.7587795283580734,2.6966230318979987,2.7444354970025735,63080000
1995-04-03,2.677497386932373,2.7300913774283146,2.6583724055971416,2.7157473496028355,65617600
1995-04-04,2.672715425491333,2.734871299566629,2.6679338901366765,2.68705886425952,66689600
1995-04-05,2.701404094696045,2.701404094696045,2.629685117839969,2.672716620683245,65792000
